H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
Hs01	Hs02	Min11	137330	136142	0.004344138	0.004344138	0.01000636	0.4341377
Min01	Hs03	Min11	139520	202869	-0.1850205	-0.1850205	0.02020092	-9.159014
Min02	Hs03	Min11	125957	220259	-0.2723791	-0.2723791	0.01812521	-15.02764
Min03	Hs03	Min11	141130	206398	-0.1878065	-0.1878065	0.02074182	-9.054481
Min04	Hs03	Min11	144178	198013	-0.1573244	-0.1573244	0.02267364	-6.93865
Min05	Hs03	Min11	138764	206557	-0.1963188	-0.1963188	0.02157915	-9.097615
Min06	Hs03	Min11	141294	211287	-0.1985161	-0.1985161	0.02237514	-8.872171
Min07	Hs03	Min11	137946	192843	-0.1659578	-0.1659578	0.02013412	-8.242612
Min08	Hs03	Min11	140413	203500	-0.1834388	-0.1834388	0.01989173	-9.221865
Min09	Hs03	Min11	136298	192677	-0.1713778	-0.1713778	0.02123507	-8.070506
Min10	Hs03	Min11	148817	196591	-0.1383118	-0.1383118	0.02476617	-5.584706
BosCrete01	Hs03	Min11	170843	192254	-0.05896771	-0.05896771	0.03049679	-1.933571
BosCrete02	Hs03	Min11	167399	194245	-0.07423322	-0.07423322	0.03016247	-2.461112
BosCrete03	Hs03	Min11	167847	190769	-0.06391795	-0.06391795	0.03066477	-2.08441
BosCrete04	Hs03	Min11	169334	191481	-0.06138049	-0.06138049	0.03047235	-2.014301
BosCrete05	Hs03	Min11	167936	189618	-0.06063979	-0.06063979	0.03078249	-1.969945
BosCrete06	Hs03	Min11	169941	192127	-0.06127578	-0.06127578	0.03052285	-2.007538
BosCrete07	Hs03	Min11	169464	190968	-0.05966174	-0.05966174	0.03065522	-1.946218
BosCrete08	Hs03	Min11	168549	191642	-0.06411321	-0.06411321	0.03033286	-2.113655
BosCrete09	Hs03	Min11	162907	183801	-0.06026397	-0.06026397	0.03063491	-1.967167
PSP01	Hs03	Min11	134044	139105	-0.01852835	-0.01852835	0.009182902	-2.017701
PSP02	Hs03	Min11	134735	138810	-0.014897	-0.014897	0.008139007	-1.830322
PSP03	Hs03	Min11	135686	138924	-0.01179127	-0.01179127	0.009155058	-1.287951
